,Country Name,2016,constant_amount,Per Capita
1,Afghanistan,35383128,2348273187,$66.37
2,Angola,28842484,109595176,$3.80
3,Albania,2876101,17739919,$6.17
6,United Arab Emirates,9360980,488356,$0.05
7,Argentina,43590368,1690104,$0.04
8,Armenia,2936146,28375221,$9.66
12,Austria,8736668,148630,$0.02
13,Azerbaijan,9757812,15044789,$1.54
14,Burundi,10487998,77718074,$7.41
16,Benin,10872067,72126006,$6.63
17,Burkina Faso,18646378,117094788,$6.28
18,Bangladesh,157970840,419864008,$2.66
19,Bulgaria,7127822,820698,$0.12
20,Bahrain,1425791,527324,$0.37
22,Bosnia and Herzegovina,3386267,45455920,$13.42
23,Belarus,9501534,14964684,$1.57
24,Belize,368400,411017,$1.12
26,Bolivia,11031813,840086,$0.08
27,Brazil,206163058,15017737,$0.07
28,Barbados,285796,538117,$1.88
30,Bhutan,736709,359343,$0.49
31,Botswana,2159944,26690886,$12.36
32,Central African Republic,4537687,57371671,$12.64
33,Canada,36109487,25999751,$0.72
35,Switzerland,8373338,138014,$0.02
37,Chile,18209068,2951470,$0.16
39,Cote d'Ivoire,23822714,95006889,$3.99
40,Cameroon,23926539,75011969,$3.14
43,Colombia,48171392,346650637,$7.20
44,Comoros,795592,232135,$0.29
45,Cabo Verde,531146,531955,$1.00
46,Costa Rica,4899345,5423358,$1.11
48,Cuba,11335109,7724685,$0.68
51,Cyprus,1170187,929818,$0.79
53,Germany,82348669,26541,$0.00
54,Djibouti,929112,6482755,$6.98
55,Dominica,71307,158601,$2.22
56,Denmark,5728010,7336,$0.00
57,Dominican Republic,10397743,59929728,$5.76
58,Algeria,40551404,5914662,$0.15
64,Ecuador,16491115,10955218,$0.66
68,Spain,46484062,58390,$0.00
70,Ethiopia,103603501,876471424,$8.46
74,Fiji,872399,4755085,$5.45
75,France,66724104,150066,$0.00
78,Gabon,2007873,32252463,$16.06
80,Georgia,3727505,95921279,$25.73
81,Ghana,28481946,352792112,$12.39
83,Guinea,11738441,152897521,$13.03
85,Guinea-Bissau,1782437,9189603,$5.16
86,Equatorial Guinea,1215179,1009628,$0.83
87,Greece,10775971,559559,$0.05
88,Grenada,110261,15500,$0.14
90,Guatemala,15827690,337454323,$21.32
92,Guyana,771366,3712123,$4.81
95,Honduras,9270795,213639335,$23.04
97,Croatia,4174349,1891318,$0.45
98,Haiti,10839970,527154310,$48.63
99,Hungary,9814023,133487,$0.01
104,Indonesia,261554226,301507475,$1.15
107,India,1324509589,208972188,$0.16
111,Iraq,36610632,592677459,$16.19
113,Israel,8546000,7911579,$0.93
115,Jamaica,2906238,21390426,$7.36
116,Jordan,9551467,434321208,$45.47
117,Japan,126994511,195376,$0.00
118,Kazakhstan,17794055,16771982,$0.94
119,Kenya,49051686,914665777,$18.65
121,Cambodia,15766293,166801470,$10.58
123,St. Kitts and Nevis,51625,422174,$8.18
125,Kuwait,3956875,123150,$0.03
128,Lebanon,6711121,198409393,$29.56
129,Liberia,4586788,504907240,$110.08
130,Libya,6492164,38699513,$5.96
131,St. Lucia,180024,99281,$0.55
136,Sri Lanka,21203000,37616258,$1.77
139,Lesotho,2075001,75871599,$36.56
143,Latvia,1959537,-5052,$0.00
146,Morocco,35126296,52152802,$1.48
148,Moldova,2802170,34921732,$12.46
149,Madagascar,24894380,144543181,$5.81
150,Maldives,475513,1615550,$3.40
152,Mexico,123333376,123259010,$1.00
153,Marshall Islands,57735,152688799,"$2,644.65"
156,Mali,17965429,355480084,$19.79
160,Montenegro,622303,98284,$0.16
161,Mongolia,3056359,5003127,$1.64
163,Mozambique,27829942,488077755,$17.54
164,Mauritania,4163534,8849421,$2.13
165,Mauritius,1263473,41126,$0.03
166,Malawi,17205289,490235634,$28.49
167,Malaysia,30684804,5520598,$0.18
169,Namibia,2358041,32505301,$13.78
171,Niger,20788838,92429793,$4.45
172,Nigeria,185960289,785350287,$4.22
173,Nicaragua,6303974,60868049,$9.66
176,Nepal,27261131,261290575,$9.58
178,New Zealand,4693200,116782,$0.02
180,Oman,4479219,738273,$0.16
182,Pakistan,203627284,1132315978,$5.56
183,Panama,4037078,2333957,$0.58
184,Peru,30926032,89568144,$2.90
185,Philippines,103663927,284204493,$2.74
186,Palau,17725,3736365,$210.80
187,Papua New Guinea,8271760,17493658,$2.11
188,Poland,37970087,49927,$0.00
192,Portugal,10325452,123150,$0.01
193,Paraguay,6777872,13309421,$1.96
199,Romania,19702267,119569,$0.01
201,Rwanda,11668818,256981932,$22.02
205,Senegal,14993528,198714192,$13.25
206,Singapore,5607283,536943,$0.10
207,Solomon Islands,619437,46775304,$75.51
208,Sierra Leone,7328838,163141490,$22.26
209,El Salvador,6356143,105922450,$16.66
211,Somalia,14185613,331119706,$23.34
212,Serbia,7058322,19164984,$2.72
217,Sao Tome and Principe,203227,0,$0.00
219,Slovak Republic,5430798,530822,$0.10
227,Chad,14561666,28094014,$1.93
230,Togo,7509952,1397085,$0.19
231,Thailand,68971331,21299159,$0.31
232,Tajikistan,8663579,44290999,$5.11
233,Turkmenistan,5662372,4509520,$0.80
235,Timor-Leste,1219288,27064881,$22.20
237,Tonga,101133,711197,$7.03
240,Trinidad and Tobago,1377564,194976,$0.14
241,Tunisia,11303946,39765165,$3.52
242,Turkey,79821724,12947537,$0.16
244,Tanzania,53050790,600225093,$11.31
245,Uganda,39647506,658153095,$16.60
246,Ukraine,45004674,270582060,$6.01
248,Uruguay,3424132,186320,$0.05
250,Uzbekistan,31847900,16142827,$0.51
255,Vietnam,93638724,165029114,$1.76
256,Vanuatu,278330,3292087,$11.83
258,Samoa,194535,816371,$4.20
261,South Africa,56203654,568052874,$10.11
262,Zambia,16363507,402469194,$24.60
263,Zimbabwe,14030390,271006013,$19.32
