,Country Name,2019,constant_amount
1,Afghanistan,38041754.0,1306748064.0
2,Angola,31825295.0,62478046.0
3,Albania,2854191.0,13397587.0
7,Argentina,44938712.0,668956.0
8,Armenia,2957731.0,21011799.0
13,Azerbaijan,10023318.0,8341446.0
14,Burundi,11530580.0,44579914.0
16,Benin,11801151.0,49608215.0
17,Burkina Faso,20321378.0,79928341.0
18,Bangladesh,163046161.0,259652215.0
19,Bulgaria,6975761.0,160915.0
22,Bosnia and Herzegovina,3301000.0,38632899.0
23,Belarus,9466856.0,7878594.0
24,Belize,390353.0,-184997.0
26,Bolivia,11513100.0,-84449.0
27,Brazil,211049527.0,37952647.0
28,Barbados,287025.0,0.0
31,Botswana,2303697.0,29299050.0
32,Central African Republic,4745185.0,21359018.0
33,Canada,37589262.0,10785716.0
37,Chile,18952038.0,4868611.0
39,Cote d'Ivoire,25716544.0,64959096.0
40,Cameroon,25876380.0,50144896.0
43,Colombia,50339443.0,320498281.0
45,Cabo Verde,549935.0,0.0
46,Costa Rica,5047561.0,1562497.0
48,Cuba,11333483.0,1883238.0
51,Cyprus,1198575.0,49009.0
54,Djibouti,973560.0,8348881.0
55,Dominica,71808.0,1382986.0
57,Dominican Republic,10738958.0,45854668.0
58,Algeria,43053054.0,-4924.0
64,Ecuador,17373662.0,5073627.0
68,Spain,47076781.0,-108994.0
70,Ethiopia,112078730.0,733982969.0
74,Fiji,889953.0,551515.0
78,Gabon,2172579.0,-5581503.0
80,Georgia,3720382.0,58169768.0
81,Ghana,30417856.0,221028582.0
83,Guinea,12771246.0,65100235.0
85,Guinea-Bissau,1920922.0,224460.0
86,Equatorial Guinea,1355986.0,-119588.0
90,Guatemala,16604026.0,175105544.0
92,Guyana,782766.0,106722.0
95,Honduras,9746117.0,133862883.0
97,Croatia,4067500.0,2169609.0
98,Haiti,11263077.0,256448767.0
104,Indonesia,270625568.0,196210545.0
107,India,1366417754.0,94779993.0
109,Ireland,4941444.0,1500000.0
111,Iraq,39309783.0,441129051.0
113,Israel,9053300.0,3130611.0
115,Jamaica,2948279.0,17850440.0
116,Jordan,10101694.0,276830804.0
118,Kazakhstan,18513930.0,10812057.0
119,Kenya,52573973.0,865455888.0
121,Cambodia,16486542.0,74473505.0
128,Lebanon,6855713.0,187510109.0
129,Liberia,4937374.0,181334046.0
130,Libya,6777452.0,74020322.0
136,Sri Lanka,21803000.0,39827694.0
139,Lesotho,2125268.0,84953995.0
146,Morocco,36471769.0,28602830.0
148,Moldova,2657637.0,48114476.0
149,Madagascar,26969307.0,79957746.0
152,Mexico,127575529.0,69839407.0
153,Marshall Islands,58791.0,1204877.0
156,Mali,19658031.0,228241497.0
160,Montenegro,622137.0,726240.0
161,Mongolia,3225167.0,2411326.0
163,Mozambique,30366036.0,409301241.0
164,Mauritania,4525696.0,1601701.0
166,Malawi,18628747.0,366778183.0
167,Malaysia,31949777.0,12700157.0
169,Namibia,2494530.0,34603933.0
171,Niger,23310715.0,48988115.0
172,Nigeria,200963599.0,570196584.0
173,Nicaragua,6545502.0,37633082.0
176,Nepal,28608710.0,187529490.0
180,Oman,4974986.0,0.0
182,Pakistan,216565318.0,388709067.0
183,Panama,4246439.0,84336.0
184,Peru,32510453.0,54311114.0
185,Philippines,108116615.0,93502154.0
186,Palau,18008.0,190898.0
187,Papua New Guinea,8776109.0,1801224.0
192,Portugal,10269417.0,0.0
193,Paraguay,7044636.0,9356592.0
201,Rwanda,12626950.0,236394796.0
205,Senegal,16296364.0,216797756.0
207,Solomon Islands,669823.0,208756.0
208,Sierra Leone,7813215.0,45630347.0
209,El Salvador,6453553.0,113103350.0
211,Somalia,15442905.0,121365307.0
212,Serbia,6944975.0,18323941.0
220,Slovenia,2087946.0,300000.0
227,Chad,15946876.0,5052046.0
230,Togo,8082366.0,11878.0
231,Thailand,69625582.0,6219273.0
232,Tajikistan,9321018.0,37682184.0
233,Turkmenistan,5942089.0,3452677.0
235,Timor-Leste,1293119.0,22079333.0
237,Tonga,104494.0,-33535.0
241,Tunisia,11694719.0,93787309.0
242,Turkey,83429615.0,3827964.0
244,Tanzania,58005463.0,594488462.0
245,Uganda,44269594.0,589995431.0
246,Ukraine,44385155.0,184166193.0
250,Uzbekistan,33580650.0,19870464.0
255,Vietnam,96462106.0,143249161.0
256,Vanuatu,299882.0,209845.0
261,South Africa,58558270.0,208630779.0
262,Zambia,17861030.0,405616253.0
263,Zimbabwe,14645468.0,206834109.0
