,Country Name,2015,constant_amount
1,Afghanistan,34413603.0,3017040642.0
2,Angola,27884381.0,90128934.0
3,Albania,2880703.0,18128131.0
6,United Arab Emirates,9262900.0,666982.0
7,Argentina,43131966.0,1186016.0
8,Armenia,2925553.0,40634848.0
11,Australia,23815995.0,10020.0
13,Azerbaijan,9649341.0,18399735.0
14,Burundi,10160030.0,56180208.0
16,Benin,10575952.0,115192229.0
17,Burkina Faso,18110624.0,56495158.0
18,Bangladesh,156256276.0,424219558.0
19,Bulgaria,7177991.0,35163.0
22,Bosnia and Herzegovina,3429361.0,51935158.0
23,Belarus,9489616.0,22908864.0
24,Belize,360933.0,207847.0
25,Bermuda,65237.0,24098.0
26,Bolivia,10869730.0,1137101.0
27,Brazil,204471769.0,12752458.0
28,Barbados,285324.0,68548.0
30,Bhutan,727876.0,1476084.0
31,Botswana,2120716.0,31594826.0
32,Central African Republic,4493170.0,66808272.0
33,Canada,35702908.0,14120324.0
35,Switzerland,8282396.0,184220.0
37,Chile,17969353.0,1480298.0
39,Cote d'Ivoire,23226143.0,83432132.0
40,Cameroon,23298368.0,44389064.0
43,Colombia,47520667.0,311948930.0
44,Comoros,777424.0,181329.0
45,Cabo Verde,524743.0,484112.0
46,Costa Rica,4847804.0,2622755.0
48,Cuba,11324781.0,3925084.0
51,Cyprus,1160985.0,2303533.0
53,Germany,81686611.0,26776.0
54,Djibouti,913993.0,3578281.0
55,Dominica,71183.0,160656.0
57,Dominican Republic,10281680.0,99358628.0
58,Algeria,39728025.0,10607710.0
64,Ecuador,16212020.0,4946707.0
68,Spain,46444832.0,41862.0
70,Ethiopia,100835458.0,792668962.0
74,Fiji,868627.0,34786.0
75,France,66548272.0,107104.0
78,Gabon,1947686.0,18729509.0
79,United Kingdom,65116219.0,64262.0
80,Georgia,3725276.0,117628149.0
81,Ghana,27849205.0,361804360.0
83,Guinea,11432088.0,203227468.0
85,Guinea-Bissau,1737202.0,3108873.0
86,Equatorial Guinea,1168568.0,4695390.0
87,Greece,10820883.0,367049.0
90,Guatemala,15567419.0,187452986.0
92,Guyana,767432.0,3557047.0
95,Honduras,9112916.0,154205063.0
98,Haiti,10695542.0,605259323.0
99,Hungary,9843028.0,297391.0
104,Indonesia,258383256.0,310904156.0
107,India,1310152403.0,133839854.0
109,Ireland,4701957.0,2966802.0
111,Iraq,35572261.0,279062273.0
113,Israel,8380100.0,8014858.0
115,Jamaica,2891021.0,20562752.0
116,Jordan,9266575.0,863060313.0
117,Japan,127141000.0,3524.0
118,Kazakhstan,17542806.0,22363100.0
119,Kenya,47878336.0,1036091403.0
121,Cambodia,15521436.0,146713343.0
122,Kiribati,110930.0,107104.0
125,Kuwait,3835591.0,166272.0
128,Lebanon,6532678.0,179597016.0
129,Liberia,4472230.0,1173457321.0
130,Libya,6418315.0,37181766.0
131,St. Lucia,179126.0,43349.0
136,Sri Lanka,20970000.0,36793126.0
139,Lesotho,2059021.0,36130659.0
141,Lithuania,2904910.0,66404.0
143,Latvia,1977527.0,69200.0
146,Morocco,34663603.0,42144581.0
148,Moldova,2834530.0,42825060.0
149,Madagascar,24234088.0,107559668.0
150,Maldives,454915.0,1416729.0
152,Mexico,121858258.0,115414146.0
153,Marshall Islands,57439.0,74482755.0
156,Mali,17438778.0,270582838.0
160,Montenegro,622159.0,118268.0
161,Mongolia,2998439.0,6985544.0
163,Mozambique,27042002.0,392351127.0
164,Mauritania,4046301.0,20224187.0
166,Malawi,16745303.0,317879815.0
167,Malaysia,30270962.0,2114613.0
169,Namibia,2314904.0,53965558.0
171,Niger,20001663.0,64562289.0
172,Nigeria,181137448.0,720577624.0
173,Nicaragua,6223240.0,65640525.0
176,Nepal,27015031.0,277108639.0
180,Oman,4267348.0,180161.0
182,Pakistan,199426964.0,1320607256.0
183,Panama,3968487.0,863983.0
184,Peru,30470734.0,115670084.0
185,Philippines,102113212.0,289671330.0
186,Palau,17665.0,1299846.0
187,Papua New Guinea,8107775.0,13895978.0
193,Paraguay,6688746.0,18163021.0
199,Romania,19815616.0,-2899.0
201,Rwanda,11369071.0,311562602.0
203,Saudi Arabia,31717667.0,160092.0
205,Senegal,14578459.0,178358540.0
207,Solomon Islands,603118.0,693900.0
208,Sierra Leone,7171914.0,245752906.0
209,El Salvador,6325124.0,80997546.0
211,Somalia,13797201.0,237624554.0
212,Serbia,7095383.0,29579593.0
221,Sweden,9799186.0,94252.0
227,Chad,14110975.0,29720423.0
230,Togo,7323158.0,176460.0
231,Thailand,68714511.0,14080159.0
232,Tajikistan,8454028.0,49895443.0
233,Turkmenistan,5565287.0,7829089.0
235,Timor-Leste,1196302.0,38236339.0
241,Tunisia,11179949.0,33126001.0
242,Turkey,78529409.0,1141945.0
243,Tuvalu,11099.0,106867.0
244,Tanzania,51482633.0,635881673.0
245,Uganda,38225453.0,575647512.0
246,Ukraine,45154036.0,225193438.0
248,Uruguay,3412009.0,1006784.0
250,Uzbekistan,31298900.0,24974806.0
255,Vietnam,92677076.0,149623427.0
256,Vanuatu,271130.0,3194616.0
258,Samoa,193513.0,139236.0
261,South Africa,55386367.0,490227439.0
262,Zambia,15879361.0,303480708.0
263,Zimbabwe,13814629.0,228844850.0
