,Country Name,2017,constant_amount,Per Capita
1,Afghanistan,36296400,1941846670,$53.50
2,Angola,29816748,93052795,$3.12
3,Albania,2873457,12019217,$4.18
6,United Arab Emirates,9487203,74904,$0.01
7,Argentina,44044811,3839420,$0.09
8,Armenia,2944809,30998753,$10.53
10,Antigua and Barbuda,95426,141122,$1.48
13,Azerbaijan,9854033,12434664,$1.26
14,Burundi,10827024,90378243,$8.35
15,Belgium,11375158,9491,$0.00
16,Benin,11175204,144779990,$12.96
17,Burkina Faso,19193284,125780933,$6.55
18,Bangladesh,159670593,351737543,$2.20
19,Bulgaria,7075947,816198,$0.12
20,Bahrain,1494074,106629,$0.07
22,Bosnia and Herzegovina,3351527,57393009,$17.12
23,Belarus,9498264,8862083,$0.93
24,Belize,375769,24894,$0.07
26,Bolivia,11192854,1906345,$0.17
27,Brazil,207833831,25442381,$0.12
28,Barbados,286233,69468,$0.24
30,Bhutan,745568,632551,$0.85
31,Botswana,2205128,26224158,$11.89
32,Central African Republic,4596028,70401822,$15.32
33,Canada,36543321,39031240,$1.07
35,Switzerland,8451840,5216,$0.00
37,Chile,18470439,633330,$0.03
39,Cote d'Ivoire,24437469,127733553,$5.23
40,Cameroon,24566045,49021118,$2.00
43,Colombia,48901066,358782267,$7.34
44,Comoros,813892,233661,$0.29
45,Cabo Verde,537497,358084,$0.67
46,Costa Rica,4949954,2584561,$0.52
48,Cuba,11339259,1486566,$0.13
54,Djibouti,944097,20407407,$21.62
55,Dominica,71458,-634,-$0.01
57,Dominican Republic,10513131,62803642,$5.97
58,Algeria,41389198,3326003,$0.08
64,Ecuador,16785361,10357054,$0.62
68,Spain,46593236,218428,$0.00
70,Ethiopia,106400024,1151095650,$10.82
74,Fiji,877459,1141739,$1.30
75,France,66864379,95968,$0.00
78,Gabon,2064823,1484644,$0.72
79,United Kingdom,66058859,34260520,$0.52
80,Georgia,3728004,80807126,$21.68
81,Ghana,29121471,364156323,$12.50
83,Guinea,12067539,114865531,$9.52
85,Guinea-Bissau,1828146,10517784,$5.75
86,Equatorial Guinea,1262001,3400738,$2.69
87,Greece,10754679,643552,$0.06
90,Guatemala,16087418,366110544,$22.76
92,Guyana,775221,1229553,$1.59
95,Honduras,9429013,199444141,$21.15
97,Croatia,4124531,1558709,$0.38
98,Haiti,10982366,425118423,$38.71
99,Hungary,9787966,134367,$0.01
104,Indonesia,264645886,278812485,$1.05
107,India,1338658835,140717155,$0.11
109,Ireland,4807388,803077,$0.17
111,Iraq,37552781,863206120,$22.99
112,Iceland,343400,25538,$0.07
113,Israel,8713300,42661823,$4.90
114,Italy,60536709,222823,$0.00
115,Jamaica,2920853,33836628,$11.58
116,Jordan,9779173,394533755,$40.34
117,Japan,126785797,186617,$0.00
118,Kazakhstan,18037776,16998242,$0.94
119,Kenya,50221473,1100027633,$21.90
121,Cambodia,16009414,147823910,$9.23
123,St. Kitts and Nevis,52045,556633,$10.70
128,Lebanon,6811873,233697555,$34.31
129,Liberia,4702228,309802422,$65.88
130,Libya,6580724,101130049,$15.37
131,St. Lucia,180955,26245,$0.15
136,Sri Lanka,21444000,75206902,$3.51
139,Lesotho,2091412,72001321,$34.43
146,Morocco,35581294,50821612,$1.43
148,Moldova,2755158,46011783,$16.70
149,Madagascar,25570540,161661442,$6.32
152,Mexico,124777324,115458535,$0.93
153,Marshall Islands,58058,136338141,"$2,348.31"
156,Mali,18512394,386535255,$20.88
160,Montenegro,622373,1213462,$1.95
161,Mongolia,3113779,4960858,$1.59
163,Mozambique,28649007,486003721,$16.96
164,Mauritania,4282574,5198559,$1.21
166,Malawi,17670260,500497036,$28.32
167,Malaysia,31105028,3345007,$0.11
169,Namibia,2402603,48375614,$20.13
171,Niger,21602472,123687381,$5.73
172,Nigeria,190873311,1086937596,$5.69
173,Nicaragua,6384855,75389733,$11.81
176,Nepal,27627124,288033096,$10.43
180,Oman,4665935,616979,$0.13
182,Pakistan,207896686,913140264,$4.39
183,Panama,4106771,1077391,$0.26
184,Peru,31444297,68037040,$2.16
185,Philippines,105173264,230302473,$2.19
186,Palau,17808,18680778,"$1,049.01"
187,Papua New Guinea,8438029,16259168,$1.93
192,Portugal,10300300,215162,$0.02
193,Paraguay,6867062,12819783,$1.87
201,Rwanda,11980937,188316231,$15.72
203,Saudi Arabia,33099147,22974,$0.00
205,Senegal,15419381,241478994,$15.66
206,Singapore,5612253,315441,$0.06
207,Solomon Islands,636038,1493310,$2.35
208,Sierra Leone,7488431,107523246,$14.36
209,El Salvador,6388122,144642298,$22.64
211,Somalia,14589119,451062587,$30.92
212,Serbia,7020858,14741047,$2.10
217,Sao Tome and Principe,207089,139531,$0.67
227,Chad,15016773,48123069,$3.20
230,Togo,7698475,2039263,$0.26
231,Thailand,69209858,18196934,$0.26
232,Tajikistan,8880268,53816416,$6.06
233,Turkmenistan,5757669,4289944,$0.75
235,Timor-Leste,1243261,27569292,$22.17
237,Tonga,101998,454969,$4.46
240,Trinidad and Tobago,1384072,18704,$0.01
241,Tunisia,11433443,73363011,$6.42
242,Turkey,81101892,3576560,$0.04
243,Tuvalu,11370,-232,-$0.02
244,Tanzania,54663906,757156143,$13.85
245,Uganda,41162465,723008848,$17.56
246,Ukraine,44831135,314214907,$7.01
248,Uruguay,3436646,348153,$0.10
250,Uzbekistan,32388600,18253457,$0.56
255,Vietnam,94596642,176609768,$1.87
256,Vanuatu,285510,1737113,$6.08
258,Samoa,195352,428330,$2.19
261,South Africa,57000451,668503547,$11.73
262,Zambia,16853688,471302181,$27.96
263,Zimbabwe,14236745,316234742,$22.21
