,Country Code,Country Name,2018,2018 AID
0,ABW,Aruba,105845.0,
1,AFG,Afghanistan,37172386.0,1126304638.0
2,AGO,Angola,30809762.0,66193674.0
3,ALB,Albania,2866376.0,17707204.0
4,AND,Andorra,77006.0,
5,ARB,Arab World,419790591.0,
6,ARE,United Arab Emirates,9630959.0,52600.0
7,ARG,Argentina,44494502.0,1147451.0
8,ARM,Armenia,2951776.0,21802886.0
9,ASM,American Samoa,55465.0,
10,ATG,Antigua and Barbuda,96286.0,-92127.0
11,AUS,Australia,24982688.0,
12,AUT,Austria,8840521.0,1498516.0
13,AZE,Azerbaijan,9939771.0,12509171.0
14,BDI,Burundi,11175378.0,61104119.0
15,BEL,Belgium,11427054.0,
16,BEN,Benin,11485048.0,67011514.0
17,BFA,Burkina Faso,19751535.0,85895360.0
18,BGD,Bangladesh,161356039.0,374749242.0
19,BGR,Bulgaria,7025037.0,1198228.0
20,BHR,Bahrain,1569439.0,
21,BHS,"Bahamas, The",385640.0,153850.0
22,BIH,Bosnia and Herzegovina,3323929.0,63420913.0
23,BLR,Belarus,9483499.0,11543634.0
24,BLZ,Belize,383071.0,253300.0
25,BMU,Bermuda,63920.0,
26,BOL,Bolivia,11353142.0,-983819.0
27,BRA,Brazil,209469333.0,17910507.0
28,BRB,Barbados,286641.0,65242.0
29,BRN,Brunei Darussalam,428962.0,
30,BTN,Bhutan,754394.0,156560.0
31,BWA,Botswana,2254126.0,34685874.0
32,CAF,Central African Republic,4666377.0,49696761.0
33,CAN,Canada,37057765.0,-4649923.0
34,CEB,Central Europe and the Baltics,102537026.0,
35,CHE,Switzerland,8514329.0,
36,CHI,Channel Islands,170499.0,
37,CHL,Chile,18729160.0,2353327.0
38,CHN,China,1392730000.0,21717842.0
39,CIV,Cote d'Ivoire,25069229.0,110255104.0
40,CMR,Cameroon,25216237.0,69032554.0
41,COD,"Congo, Dem. Rep.",84068091.0,551550002.0
42,COG,"Congo, Rep.",5244363.0,7868290.0
43,COL,Colombia,49648685.0,307567535.0
44,COM,Comoros,832322.0,
45,CPV,Cabo Verde,543767.0,160932.0
46,CRI,Costa Rica,4999441.0,3611898.0
47,CSS,Caribbean small states,7358965.0,
48,CUB,Cuba,11338138.0,2291138.0
49,CUW,Curacao,159800.0,
50,CYM,Cayman Islands,64174.0,
51,CYP,Cyprus,1189265.0,
52,CZE,Czech Republic,10629928.0,54773.0
53,DEU,Germany,82905782.0,
54,DJI,Djibouti,958920.0,6162056.0
55,DMA,Dominica,71625.0,7349952.0
56,DNK,Denmark,5793636.0,
57,DOM,Dominican Republic,10627165.0,66605764.0
58,DZA,Algeria,42228429.0,1216721.0
59,EAP,East Asia & Pacific (excluding high income),2081639097.0,
60,EAR,Early-demographic dividend,3248239448.0,
61,EAS,East Asia & Pacific,2328138066.0,
62,ECA,Europe & Central Asia (excluding high income),397435105.5,
63,ECS,Europe & Central Asia,917922618.5,
64,ECU,Ecuador,17084357.0,6406039.0
65,EGY,"Egypt, Arab Rep.",98423595.0,236109855.0
66,EMU,Euro area,341843156.0,
67,ERI,Eritrea,,
68,ESP,Spain,46797754.0,384280.0
69,EST,Estonia,1321977.0,
70,ETH,Ethiopia,109224559.0,889892211.0
71,EUU,European Union,446777673.0,
72,FCS,Fragile and conflict affected situations,780467640.0,
73,FIN,Finland,5515525.0,
74,FJI,Fiji,883483.0,365378.0
75,FRA,France,66965912.0,
76,FRO,Faroe Islands,48497.0,
77,FSM,"Micronesia, Fed. Sts.",112640.0,163060486.0
78,GAB,Gabon,2119275.0,8669120.0
79,GBR,United Kingdom,66460344.0,
80,GEO,Georgia,3726549.0,81676370.0
81,GHA,Ghana,29767108.0,270940837.0
82,GIB,Gibraltar,33718.0,
83,GIN,Guinea,12414318.0,96867470.0
84,GMB,"Gambia, The",2280102.0,11386431.0
85,GNB,Guinea-Bissau,1874309.0,3748998.0
86,GNQ,Equatorial Guinea,1308974.0,1060788.0
87,GRC,Greece,10732882.0,384023.0
88,GRD,Grenada,111454.0,
89,GRL,Greenland,56023.0,
90,GTM,Guatemala,16346950.0,260857155.0
91,GUM,Guam,165768.0,
92,GUY,Guyana,779004.0,440449.0
93,HIC,High income,1230515713.0,
94,HKG,"Hong Kong SAR, China",7451000.0,380236.0
95,HND,Honduras,9587522.0,162796098.0
96,HPC,Heavily indebted poor countries (HIPC),780234406.0,
97,HRV,Croatia,4087843.0,
98,HTI,Haiti,11123176.0,365367395.0
99,HUN,Hungary,9775564.0,
100,IBD,IBRD only,4777244901.0,
101,IBT,IDA & IBRD total,6410726416.0,
102,IDA,IDA total,1633481515.0,
103,IDB,IDA blend,549115214.0,
104,IDN,Indonesia,267663435.0,197071576.0
105,IDX,IDA only,1084366301.0,
106,IMN,Isle of Man,84077.0,
107,IND,India,1352617328.0,153956219.0
108,INX,Not classified,,
109,IRL,Ireland,4867316.0,1519035.0
110,IRN,"Iran, Islamic Rep.",81800269.0,
111,IRQ,Iraq,38433600.0,662847832.0
