,Country Code,Country Name,2017,2017 AID,Per Capita
0,ABW,Aruba,105366,,$0.00
1,AFG,Afghanistan,36296400,1941846670,$53.50
2,AGO,Angola,29816748,93052795,$3.12
3,ALB,Albania,2873457,12019217,$4.18
4,AND,Andorra,77001,,$0.00
5,ARB,Arab World,411898967,,$0.00
6,ARE,United Arab Emirates,9487203,74904,$0.01
7,ARG,Argentina,44044811,3839420,$0.09
8,ARM,Armenia,2944809,30998753,$10.53
9,ASM,American Samoa,55620,,$0.00
10,ATG,Antigua and Barbuda,95426,141122,$1.48
11,AUS,Australia,24601860,,$0.00
12,AUT,Austria,8797566,,$0.00
13,AZE,Azerbaijan,9854033,12434664,$1.26
14,BDI,Burundi,10827024,90378243,$8.35
15,BEL,Belgium,11375158,9491,$0.00
16,BEN,Benin,11175204,144779990,$12.96
17,BFA,Burkina Faso,19193284,125780933,$6.55
18,BGD,Bangladesh,159670593,351737543,$2.20
19,BGR,Bulgaria,7075947,816198,$0.12
20,BHR,Bahrain,1494074,106629,$0.07
21,BHS,"Bahamas, The",381761,51414,$0.13
22,BIH,Bosnia and Herzegovina,3351527,57393009,$17.12
23,BLR,Belarus,9498264,8862083,$0.93
24,BLZ,Belize,375769,24894,$0.07
25,BMU,Bermuda,63873,,$0.00
26,BOL,Bolivia,11192854,1906345,$0.17
27,BRA,Brazil,207833831,25442381,$0.12
28,BRB,Barbados,286233,69468,$0.24
29,BRN,Brunei Darussalam,424473,,$0.00
30,BTN,Bhutan,745568,632551,$0.85
31,BWA,Botswana,2205128,26224158,$11.89
32,CAF,Central African Republic,4596028,70401822,$15.32
33,CAN,Canada,36543321,39031240,$1.07
34,CEB,Central Europe and the Baltics,102738653,,$0.00
35,CHE,Switzerland,8451840,5216,$0.00
36,CHI,Channel Islands,168665,,$0.00
37,CHL,Chile,18470439,633330,$0.03
38,CHN,China,1386395000,31879166,$0.02
39,CIV,Cote d'Ivoire,24437469,127733553,$5.23
40,CMR,Cameroon,24566045,49021118,$2.00
41,COD,"Congo, Dem. Rep.",81398764,641983591,$7.89
42,COG,"Congo, Rep.",5110702,31506604,$6.16
43,COL,Colombia,48901066,358782267,$7.34
44,COM,Comoros,813892,233661,$0.29
45,CPV,Cabo Verde,537497,358084,$0.67
46,CRI,Costa Rica,4949954,2584561,$0.52
47,CSS,Caribbean small states,7314990,,$0.00
48,CUB,Cuba,11339259,1486566,$0.13
49,CUW,Curacao,160175,,$0.00
50,CYM,Cayman Islands,63382,,$0.00
51,CYP,Cyprus,1179680,,$0.00
52,CZE,Czech Republic,10594438,469409,$0.04
53,DEU,Germany,82657002,,$0.00
54,DJI,Djibouti,944097,20407407,$21.62
55,DMA,Dominica,71458,-634,-$0.01
56,DNK,Denmark,5764980,,$0.00
57,DOM,Dominican Republic,10513131,62803642,$5.97
58,DZA,Algeria,41389198,3326003,$0.08
59,EAP,East Asia & Pacific (excluding high income),2068142784,,$0.00
60,EAR,Early-demographic dividend,3206361023,,$0.00
61,EAS,East Asia & Pacific,2314097713,,$0.00
62,ECA,Europe & Central Asia (excluding high income),395289709,,$0.00
63,ECS,Europe & Central Asia,914585461,,$0.00
64,ECU,Ecuador,16785361,10357054,$0.62
65,EGY,"Egypt, Arab Rep.",96442593,199564157,$2.07
66,EMU,Euro area,341163597,,$0.00
67,ERI,Eritrea,,,#DIV/0!
68,ESP,Spain,46593236,218428,$0.00
69,EST,Estonia,1317384,,$0.00
70,ETH,Ethiopia,106400024,1151095650,$10.82
71,EUU,European Union,446131273,,$0.00
72,FCS,Fragile and conflict affected situations,763578047,,$0.00
73,FIN,Finland,5508214,,$0.00
74,FJI,Fiji,877459,1141739,$1.30
75,FRA,France,66864379,95968,$0.00
76,FRO,Faroe Islands,48331,,$0.00
77,FSM,"Micronesia, Fed. Sts.",111459,232092420,"$2,082.31"
78,GAB,Gabon,2064823,1484644,$0.72
79,GBR,United Kingdom,66058859,34260520,$0.52
80,GEO,Georgia,3728004,80807126,$21.68
81,GHA,Ghana,29121471,364156323,$12.50
82,GIB,Gibraltar,33728,,$0.00
83,GIN,Guinea,12067539,114865531,$9.52
84,GMB,"Gambia, The",2213894,20093588,$9.08
85,GNB,Guinea-Bissau,1828146,10517784,$5.75
86,GNQ,Equatorial Guinea,1262001,3400738,$2.69
87,GRC,Greece,10754679,643552,$0.06
88,GRD,Grenada,110874,,$0.00
89,GRL,Greenland,56172,,$0.00
90,GTM,Guatemala,16087418,366110544,$22.76
91,GUM,Guam,164281,,$0.00
92,GUY,Guyana,775221,1229553,$1.59
93,HIC,High income,1225031047,,$0.00
94,HKG,"Hong Kong SAR, China",7391700,590662,$0.08
95,HND,Honduras,9429013,199444141,$21.15
96,HPC,Heavily indebted poor countries (HIPC),759106221,,$0.00
97,HRV,Croatia,4124531,1558709,$0.38
98,HTI,Haiti,10982366,425118423,$38.71
99,HUN,Hungary,9787966,134367,$0.01
100,IBD,IBRD only,4736161411,,$0.00
101,IBT,IDA & IBRD total,6333378175,,$0.00
102,IDA,IDA total,1597216764,,$0.00
103,IDB,IDA blend,536862922,,$0.00
104,IDN,Indonesia,264645886,278812485,$1.05
105,IDX,IDA only,1060353842,,$0.00
106,IMN,Isle of Man,83598,,$0.00
107,IND,India,1338658835,140717155,$0.11
