,Country Code,Country Name,2017,2017 AID,Per Capita
108,INX,Not classified,,,#DIV/0!
109,IRL,Ireland,4807388,803077,$0.17
110,IRN,"Iran, Islamic Rep.",80673951,,$0.00
111,IRQ,Iraq,37552781,863206120,$22.99
112,ISL,Iceland,343400,25538,$0.07
113,ISR,Israel,8713300,42661823,$4.90
114,ITA,Italy,60536709,222823,$0.00
115,JAM,Jamaica,2920853,33836628,$11.58
116,JOR,Jordan,9779173,394533755,$40.34
117,JPN,Japan,126785797,186617,$0.00
118,KAZ,Kazakhstan,18037776,16998242,$0.94
119,KEN,Kenya,50221473,1100027633,$21.90
120,KGZ,Kyrgyz Republic,6198200,96893072,$15.63
121,KHM,Cambodia,16009414,147823910,$9.23
122,KIR,Kiribati,114158,,$0.00
123,KNA,St. Kitts and Nevis,52045,556633,$10.70
124,KOR,"Korea, Rep.",51361911,,$0.00
125,KWT,Kuwait,4056099,,$0.00
126,LAC,Latin America & Caribbean (excluding high income),602426586,,$0.00
127,LAO,Lao PDR,6953035,101674101,$14.62
128,LBN,Lebanon,6811873,233697555,$34.31
129,LBR,Liberia,4702228,309802422,$65.88
130,LBY,Libya,6580724,101130049,$15.37
131,LCA,St. Lucia,180955,26245,$0.15
132,LCN,Latin America & Caribbean,634545282,,$0.00
133,LDC,Least developed countries: UN classification,986365080,,$0.00
134,LIC,Low income,634796692,,$0.00
135,LIE,Liechtenstein,37800,,$0.00
136,LKA,Sri Lanka,21444000,75206902,$3.51
137,LMC,Lower middle income,2831466703,,$0.00
138,LMY,Low & middle income,6284034658,,$0.00
139,LSO,Lesotho,2091412,72001321,$34.43
140,LTE,Late-demographic dividend,2275525382,,$0.00
141,LTU,Lithuania,2828403,,$0.00
142,LUX,Luxembourg,596336,,$0.00
143,LVA,Latvia,1942248,,$0.00
144,MAC,"Macao SAR, China",622585,,$0.00
145,MAF,St. Martin (French part),36560,,$0.00
146,MAR,Morocco,35581294,50821612,$1.43
147,MCO,Monaco,38392,,$0.00
148,MDA,Moldova,2755158,46011783,$16.70
149,MDG,Madagascar,25570540,161661442,$6.32
150,MDV,Maldives,496402,,$0.00
151,MEA,Middle East & North Africa,441255236,,$0.00
152,MEX,Mexico,124777324,115458535,$0.93
153,MHL,Marshall Islands,58058,136338141,"$2,348.31"
154,MIC,Middle income,5649237966,,$0.00
155,MKD,North Macedonia,2081996,,$0.00
156,MLI,Mali,18512394,386535255,$20.88
157,MLT,Malta,467999,,$0.00
158,MMR,Myanmar,53382581,223342235,$4.18
159,MNA,Middle East & North Africa (excluding high income),376546755,,$0.00
160,MNE,Montenegro,622373,1213462,$1.95
161,MNG,Mongolia,3113779,4960858,$1.59
162,MNP,Northern Mariana Islands,56562,,$0.00
163,MOZ,Mozambique,28649007,486003721,$16.96
164,MRT,Mauritania,4282574,5198559,$1.21
165,MUS,Mauritius,1264613,,$0.00
166,MWI,Malawi,17670260,500497036,$28.32
167,MYS,Malaysia,31105028,3345007,$0.11
168,NAC,North America,361592733,,$0.00
169,NAM,Namibia,2402603,48375614,$20.13
170,NCL,New Caledonia,280350,,$0.00
171,NER,Niger,21602472,123687381,$5.73
172,NGA,Nigeria,190873311,1086937596,$5.69
173,NIC,Nicaragua,6384855,75389733,$11.81
174,NLD,Netherlands,17131296,,$0.00
175,NOR,Norway,5276968,,$0.00
176,NPL,Nepal,27627124,288033096,$10.43
177,NRU,Nauru,12876,,$0.00
178,NZL,New Zealand,4793900,,$0.00
179,OED,OECD members,1344863242,,$0.00
180,OMN,Oman,4665935,616979,$0.13
181,OSS,Other small states,30148800,,$0.00
182,PAK,Pakistan,207896686,913140264,$4.39
183,PAN,Panama,4106771,1077391,$0.26
184,PER,Peru,31444297,68037040,$2.16
185,PHL,Philippines,105173264,230302473,$2.19
186,PLW,Palau,17808,18680778,"$1,049.01"
187,PNG,Papua New Guinea,8438029,16259168,$1.93
188,POL,Poland,37974826,,$0.00
189,PRE,Pre-demographic dividend,894512725,,$0.00
190,PRI,Puerto Rico,3325286,,$0.00
191,PRK,"Korea, Dem. People’s Rep.",25429985,,$0.00
192,PRT,Portugal,10300300,215162,$0.02
193,PRY,Paraguay,6867062,12819783,$1.87
194,PSE,West Bank and Gaza,4454805,362809570,$81.44
195,PSS,Pacific island small states,2422086,,$0.00
196,PST,Post-demographic dividend,1105771602,,$0.00
197,PYF,French Polynesia,276103,,$0.00
198,QAT,Qatar,2724724,,$0.00
199,ROU,Romania,19587290,,$0.00
200,RUS,Russian Federation,144496740,331404714,$2.29
201,RWA,Rwanda,11980937,188316231,$15.72
202,SAS,South Asia,1792835608,,$0.00
203,SAU,Saudi Arabia,33099147,22974,$0.00
204,SDN,Sudan,40813396,,$0.00
205,SEN,Senegal,15419381,241478994,$15.66
206,SGP,Singapore,5612253,315441,$0.06
207,SLB,Solomon Islands,636038,1493310,$2.35
208,SLE,Sierra Leone,7488431,107523246,$14.36
209,SLV,El Salvador,6388122,144642298,$22.64
210,SMR,San Marino,33671,,$0.00
211,SOM,Somalia,14589119,451062587,$30.92
212,SRB,Serbia,7020858,14741047,$2.10
213,SSA,Sub-Saharan Africa (excluding high income),1048793216,,$0.00
214,SSD,South Sudan,10910759,,$0.00
215,SSF,Sub-Saharan Africa,1050153672,,$0.00
216,SST,Small states,39885876,,$0.00
217,STP,Sao Tome and Principe,207089,139531,$0.67
218,SUR,Suriname,570496,,$0.00
219,SVK,Slovak Republic,5439232,,$0.00
220,SVN,Slovenia,2066388,,$0.00
221,SWE,Sweden,10057698,,$0.00
222,SWZ,Eswatini,1124753,,$0.00
223,SXM,Sint Maarten (Dutch part),40574,,$0.00
224,SYC,Seychelles,95843,,$0.00
225,SYR,Syrian Arab Republic,17068002,1195373986,$70.04
226,TCA,Turks and Caicos Islands,37115,,$0.00
227,TCD,Chad,15016773,48123069,$3.20
228,TEA,East Asia & Pacific (IDA & IBRD countries),2042687863,,$0.00
229,TEC,Europe & Central Asia (IDA & IBRD countries),456976356,,$0.00
230,TGO,Togo,7698475,2039263,$0.26
231,THA,Thailand,69209858,18196934,$0.26
232,TJK,Tajikistan,8880268,53816416,$6.06
233,TKM,Turkmenistan,5757669,4289944,$0.75
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),618632726,,$0.00
235,TLS,Timor-Leste,1243261,27569292,$22.17
236,TMN,Middle East & North Africa (IDA & IBRD countries),372091950,,$0.00
237,TON,Tonga,101998,454969,$4.46
238,TSA,South Asia (IDA & IBRD),1792835608,,$0.00
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),1050153672,,$0.00
240,TTO,Trinidad and Tobago,1384072,18704,$0.01
241,TUN,Tunisia,11433443,73363011,$6.42
242,TUR,Turkey,81101892,3576560,$0.04
243,TUV,Tuvalu,11370,-232,-$0.02
244,TZA,Tanzania,54663906,757156143,$13.85
245,UGA,Uganda,41162465,723008848,$17.56
246,UKR,Ukraine,44831135,314214907,$7.01
247,UMC,Upper middle income,2817771263,,$0.00
248,URY,Uruguay,3436646,348153,$0.10
249,USA,United States,324985539,,$0.00
250,UZB,Uzbekistan,32388600,18253457,$0.56
251,VCT,St. Vincent and the Grenadines,109827,,$0.00
252,VEN,"Venezuela, RB",29390409,9276967,$0.32
253,VGB,British Virgin Islands,29577,,$0.00
254,VIR,Virgin Islands (U.S.),107268,,$0.00
255,VNM,Vietnam,94596642,176609768,$1.87
256,VUT,Vanuatu,285510,1737113,$6.08
257,WLD,World,7509065705,,$0.00
258,WSM,Samoa,195352,428330,$2.19
259,XKX,Kosovo,1791003,,$0.00
260,YEM,"Yemen, Rep.",27834821,496441050,$17.84
261,ZAF,South Africa,57000451,668503547,$11.73
262,ZMB,Zambia,16853688,471302181,$27.96
263,ZWE,Zimbabwe,14236745,316234742,$22.21
