,Country Code,Country Name,2016,2016 AID,Per Capita
0,ABW,Aruba,104872,,$0.00
1,AFG,Afghanistan,35383128,2348273187,$66.37
2,AGO,Angola,28842484,109595176,$3.80
3,ALB,Albania,2876101,17739919,$6.17
4,AND,Andorra,77297,,$0.00
5,ARB,Arab World,404024435,,$0.00
6,ARE,United Arab Emirates,9360980,488356,$0.05
7,ARG,Argentina,43590368,1690104,$0.04
8,ARM,Armenia,2936146,28375221,$9.66
9,ASM,American Samoa,55741,,$0.00
10,ATG,Antigua and Barbuda,94527,,$0.00
11,AUS,Australia,24190907,,$0.00
12,AUT,Austria,8736668,148630,$0.02
13,AZE,Azerbaijan,9757812,15044789,$1.54
14,BDI,Burundi,10487998,77718074,$7.41
15,BEL,Belgium,11331422,,$0.00
16,BEN,Benin,10872067,72126006,$6.63
17,BFA,Burkina Faso,18646378,117094788,$6.28
18,BGD,Bangladesh,157970840,419864008,$2.66
19,BGR,Bulgaria,7127822,820698,$0.12
20,BHR,Bahrain,1425791,527324,$0.37
21,BHS,"Bahamas, The",377931,785301,$2.08
22,BIH,Bosnia and Herzegovina,3386267,45455920,$13.42
23,BLR,Belarus,9501534,14964684,$1.57
24,BLZ,Belize,368400,411017,$1.12
25,BMU,Bermuda,64554,,$0.00
26,BOL,Bolivia,11031813,840086,$0.08
27,BRA,Brazil,206163058,15017737,$0.07
28,BRB,Barbados,285796,538117,$1.88
29,BRN,Brunei Darussalam,419800,,$0.00
30,BTN,Bhutan,736709,359343,$0.49
31,BWA,Botswana,2159944,26690886,$12.36
32,CAF,Central African Republic,4537687,57371671,$12.64
33,CAN,Canada,36109487,25999751,$0.72
34,CEB,Central Europe and the Baltics,102994278,,$0.00
35,CHE,Switzerland,8373338,138014,$0.02
36,CHI,Channel Islands,166923,,$0.00
37,CHL,Chile,18209068,2951470,$0.16
38,CHN,China,1378665000,39549293,$0.03
39,CIV,Cote d'Ivoire,23822714,95006889,$3.99
40,CMR,Cameroon,23926539,75011969,$3.14
41,COD,"Congo, Dem. Rep.",78789127,549919148,$6.98
42,COG,"Congo, Rep.",4980999,4664514,$0.94
43,COL,Colombia,48171392,346650637,$7.20
44,COM,Comoros,795592,232135,$0.29
45,CPV,Cabo Verde,531146,531955,$1.00
46,CRI,Costa Rica,4899345,5423358,$1.11
47,CSS,Caribbean small states,7269386,,$0.00
48,CUB,Cuba,11335109,7724685,$0.68
49,CUW,Curacao,159664,,$0.00
50,CYM,Cayman Islands,62569,,$0.00
51,CYP,Cyprus,1170187,929818,$0.79
52,CZE,Czech Republic,10566332,,$0.00
53,DEU,Germany,82348669,26541,$0.00
54,DJI,Djibouti,929112,6482755,$6.98
55,DMA,Dominica,71307,158601,$2.22
