,Country Code,Country Name,2019,2019 AID,Per Capita
124,KOR,"Korea, Rep.",51709098,,$0.00
125,KWT,Kuwait,4207083,,$0.00
126,LAC,Latin America & Caribbean (excluding high income),613773128,,$0.00
127,LAO,Lao PDR,7169455,53106156,$7.41
128,LBN,Lebanon,6855713,187510109,$27.35
129,LBR,Liberia,4937374,181334046,$36.73
130,LBY,Libya,6777452,74020322,$10.92
131,LCA,St. Lucia,182790,,$0.00
132,LCN,Latin America & Caribbean,646430841,,$0.00
133,LDC,Least developed countries: UN classification,1033388876,,$0.00
134,LIC,Low income,668454965,,$0.00
135,LIE,Liechtenstein,38019,,$0.00
136,LKA,Sri Lanka,21803000,39827694,$1.83
137,LMC,Lower middle income,2913363391,,$0.00
138,LMY,Low & middle income,6437681145,,$0.00
139,LSO,Lesotho,2125268,84953995,$39.97
140,LTE,Late-demographic dividend,2298470832,,$0.00
141,LTU,Lithuania,2786844,,$0.00
142,LUX,Luxembourg,619896,,$0.00
143,LVA,Latvia,1912789,,$0.00
144,MAC,"Macao SAR, China",640445,,$0.00
145,MAF,St. Martin (French part),38002,,$0.00
146,MAR,Morocco,36471769,28602830,$0.78
147,MCO,Monaco,38964,,$0.00
148,MDA,Moldova,2657637,48114476,$18.10
149,MDG,Madagascar,26969307,79957746,$2.96
150,MDV,Maldives,530953,,$0.00
151,MEA,Middle East & North Africa,456707404,,$0.00
152,MEX,Mexico,127575529,69839407,$0.55
153,MHL,Marshall Islands,58791,1204877,$20.49
154,MIC,Middle income,5769226180,,$0.00
155,MKD,North Macedonia,2083459,,$0.00
156,MLI,Mali,19658031,228241497,$11.61
157,MLT,Malta,502653,,$0.00
158,MMR,Myanmar,54045420,122959504,$2.28
159,MNA,Middle East & North Africa (excluding high income),389457086,,$0.00
160,MNE,Montenegro,622137,726240,$1.17
161,MNG,Mongolia,3225167,2411326,$0.75
162,MNP,Northern Mariana Islands,57216,,$0.00
163,MOZ,Mozambique,30366036,409301241,$13.48
164,MRT,Mauritania,4525696,1601701,$0.35
165,MUS,Mauritius,1265711,,$0.00
166,MWI,Malawi,18628747,366778183,$19.69
167,MYS,Malaysia,31949777,12700157,$0.40
168,NAC,North America,365892703,,$0.00
169,NAM,Namibia,2494530,34603933,$13.87
170,NCL,New Caledonia,287800,,$0.00
