,Country Code,Country Name,2015,2015 AID,Per Capita
0,ABW,Aruba,104341,,$0.00
1,AFG,Afghanistan,34413603,3017040642,$87.67
2,AGO,Angola,27884381,90128934,$3.23
3,ALB,Albania,2880703,18128131,$6.29
4,AND,Andorra,78011,,$0.00
5,ARB,Arab World,396028278,,$0.00
6,ARE,United Arab Emirates,9262900,666982,$0.07
7,ARG,Argentina,43131966,1186016,$0.03
8,ARM,Armenia,2925553,40634848,$13.89
9,ASM,American Samoa,55812,,$0.00
10,ATG,Antigua and Barbuda,93566,,$0.00
11,AUS,Australia,23815995,10020,$0.00
12,AUT,Austria,8642699,,$0.00
13,AZE,Azerbaijan,9649341,18399735,$1.91
14,BDI,Burundi,10160030,56180208,$5.53
15,BEL,Belgium,11274196,,$0.00
16,BEN,Benin,10575952,115192229,$10.89
17,BFA,Burkina Faso,18110624,56495158,$3.12
18,BGD,Bangladesh,156256276,424219558,$2.71
19,BGR,Bulgaria,7177991,35163,$0.00
20,BHR,Bahrain,1371851,,$0.00
21,BHS,"Bahamas, The",374206,174902,$0.47
22,BIH,Bosnia and Herzegovina,3429361,51935158,$15.14
23,BLR,Belarus,9489616,22908864,$2.41
24,BLZ,Belize,360933,207847,$0.58
25,BMU,Bermuda,65237,24098,$0.37
26,BOL,Bolivia,10869730,1137101,$0.10
27,BRA,Brazil,204471769,12752458,$0.06
28,BRB,Barbados,285324,68548,$0.24
29,BRN,Brunei Darussalam,414907,,$0.00
30,BTN,Bhutan,727876,1476084,$2.03
31,BWA,Botswana,2120716,31594826,$14.90
32,CAF,Central African Republic,4493170,66808272,$14.87
33,CAN,Canada,35702908,14120324,$0.40
34,CEB,Central Europe and the Baltics,103257886,,$0.00
35,CHE,Switzerland,8282396,184220,$0.02
36,CHI,Channel Islands,165385,,$0.00
37,CHL,Chile,17969353,1480298,$0.08
38,CHN,China,1371220000,27694879,$0.02
39,CIV,Cote d'Ivoire,23226143,83432132,$3.59
40,CMR,Cameroon,23298368,44389064,$1.91
41,COD,"Congo, Dem. Rep.",76244544,513677799,$6.74
42,COG,"Congo, Rep.",4856095,3918510,$0.81
43,COL,Colombia,47520667,311948930,$6.56
44,COM,Comoros,777424,181329,$0.23
45,CPV,Cabo Verde,524743,484112,$0.92
46,CRI,Costa Rica,4847804,2622755,$0.54
47,CSS,Caribbean small states,7222212,,$0.00
48,CUB,Cuba,11324781,3925084,$0.35
49,CUW,Curacao,157980,,$0.00
50,CYM,Cayman Islands,61724,,$0.00
51,CYP,Cyprus,1160985,2303533,$1.98
52,CZE,Czech Republic,10546059,,$0.00
53,DEU,Germany,81686611,26776,$0.00
54,DJI,Djibouti,913993,3578281,$3.91
55,DMA,Dominica,71183,160656,$2.26
56,DNK,Denmark,5683483,,$0.00
57,DOM,Dominican Republic,10281680,99358628,$9.66
58,DZA,Algeria,39728025,10607710,$0.27
59,EAP,East Asia & Pacific (excluding high income),2038190036,,$0.00
60,EAR,Early-demographic dividend,3122156912,,$0.00
61,EAS,East Asia & Pacific,2282855831,,$0.00
62,ECA,Europe & Central Asia (excluding high income),390295673,,$0.00
63,ECS,Europe & Central Asia,906707416,,$0.00
64,ECU,Ecuador,16212020,4946707,$0.31
65,EGY,"Egypt, Arab Rep.",92442547,250169839,$2.71
66,EMU,Euro area,339488380,,$0.00
67,ERI,Eritrea,,,#DIV/0!
68,ESP,Spain,46444832,41862,$0.00
69,EST,Estonia,1315407,,$0.00
70,ETH,Ethiopia,100835458,792668962,$7.86
71,EUU,European Union,444543759,,$0.00
72,FCS,Fragile and conflict affected situations,730424930,,$0.00
73,FIN,Finland,5479531,,$0.00
74,FJI,Fiji,868627,34786,$0.04
75,FRA,France,66548272,107104,$0.00
76,FRO,Faroe Islands,48051,,$0.00
77,FSM,"Micronesia, Fed. Sts.",108895,166516587,"$1,529.15"
78,GAB,Gabon,1947686,18729509,$9.62
79,GBR,United Kingdom,65116219,64262,$0.00
80,GEO,Georgia,3725276,117628149,$31.58
81,GHA,Ghana,27849205,361804360,$12.99
82,GIB,Gibraltar,33736,,$0.00
83,GIN,Guinea,11432088,203227468,$17.78
84,GMB,"Gambia, The",2085860,,$0.00
85,GNB,Guinea-Bissau,1737202,3108873,$1.79
86,GNQ,Equatorial Guinea,1168568,4695390,$4.02
87,GRC,Greece,10820883,367049,$0.03
88,GRD,Grenada,109599,,$0.00
89,GRL,Greenland,56114,,$0.00
90,GTM,Guatemala,15567419,187452986,$12.04
91,GUM,Guam,161853,,$0.00
92,GUY,Guyana,767432,3557047,$4.63
93,HIC,High income,1212252369,,$0.00
94,HKG,"Hong Kong SAR, China",7291300,107104,$0.01
95,HND,Honduras,9112916,154205063,$16.92
96,HPC,Heavily indebted poor countries (HIPC),718128416,,$0.00
97,HRV,Croatia,4203604,,$0.00
98,HTI,Haiti,10695542,605259323,$56.59
99,HUN,Hungary,9843028,297391,$0.03
100,IBD,IBRD only,4648915927,,$0.00
101,IBT,IDA & IBRD total,6176134815,,$0.00
102,IDA,IDA total,1527218888,,$0.00
103,IDB,IDA blend,512877243,,$0.00
104,IDN,Indonesia,258383256,310904156,$1.20
105,IDX,IDA only,1014341645,,$0.00
106,IMN,Isle of Man,83234,,$0.00
107,IND,India,1310152403,133839854,$0.10
108,INX,Not classified,,,#DIV/0!
109,IRL,Ireland,4701957,2966802,$0.63
110,IRN,"Iran, Islamic Rep.",78492215,,$0.00
