,Country Code,Country Name,2019,2019 AID
0,ABW,Aruba,106314.0,
1,AFG,Afghanistan,38041754.0,1306748064.0
2,AGO,Angola,31825295.0,62478046.0
3,ALB,Albania,2854191.0,13397587.0
4,AND,Andorra,77142.0,
5,ARB,Arab World,427870270.0,
6,ARE,United Arab Emirates,9770529.0,
7,ARG,Argentina,44938712.0,668956.0
8,ARM,Armenia,2957731.0,21011799.0
9,ASM,American Samoa,55312.0,
10,ATG,Antigua and Barbuda,97118.0,
11,AUS,Australia,25364307.0,
12,AUT,Austria,8877067.0,
13,AZE,Azerbaijan,10023318.0,8341446.0
14,BDI,Burundi,11530580.0,44579914.0
15,BEL,Belgium,11484055.0,
16,BEN,Benin,11801151.0,49608215.0
17,BFA,Burkina Faso,20321378.0,79928341.0
18,BGD,Bangladesh,163046161.0,259652215.0
19,BGR,Bulgaria,6975761.0,160915.0
20,BHR,Bahrain,1641172.0,
21,BHS,"Bahamas, The",389482.0,149886.0
22,BIH,Bosnia and Herzegovina,3301000.0,38632899.0
23,BLR,Belarus,9466856.0,7878594.0
24,BLZ,Belize,390353.0,-184997.0
25,BMU,Bermuda,63918.0,
26,BOL,Bolivia,11513100.0,-84449.0
27,BRA,Brazil,211049527.0,37952647.0
28,BRB,Barbados,287025.0,0.0
29,BRN,Brunei Darussalam,433285.0,
30,BTN,Bhutan,763092.0,
31,BWA,Botswana,2303697.0,29299050.0
32,CAF,Central African Republic,4745185.0,21359018.0
33,CAN,Canada,37589262.0,10785716.0
34,CEB,Central Europe and the Baltics,102378579.0,
35,CHE,Switzerland,8574832.0,
36,CHI,Channel Islands,172259.0,
37,CHL,Chile,18952038.0,4868611.0
38,CHN,China,1397715000.0,16504201.0
39,CIV,Cote d'Ivoire,25716544.0,64959096.0
40,CMR,Cameroon,25876380.0,50144896.0
41,COD,"Congo, Dem. Rep.",86790567.0,402717515.0
42,COG,"Congo, Rep.",5380508.0,537836.0
43,COL,Colombia,50339443.0,320498281.0
44,COM,Comoros,850886.0,
45,CPV,Cabo Verde,549935.0,0.0
46,CRI,Costa Rica,5047561.0,1562497.0
47,CSS,Caribbean small states,7401381.0,
48,CUB,Cuba,11333483.0,1883238.0
49,CUW,Curacao,157538.0,
50,CYM,Cayman Islands,64948.0,
51,CYP,Cyprus,1198575.0,49009.0
52,CZE,Czech Republic,10669709.0,319299.0
53,DEU,Germany,83132799.0,
54,DJI,Djibouti,973560.0,8348881.0
55,DMA,Dominica,71808.0,1382986.0
56,DNK,Denmark,5818553.0,
57,DOM,Dominican Republic,10738958.0,45854668.0
58,DZA,Algeria,43053054.0,-4924.0
59,EAP,East Asia & Pacific (excluding high income),2093675040.0,
60,EAR,Early-demographic dividend,3290290622.0,
61,EAS,East Asia & Pacific,2340628292.0,
62,ECA,Europe & Central Asia (excluding high income),399404587.0,
63,ECS,Europe & Central Asia,921140092.0,
64,ECU,Ecuador,17373662.0,5073627.0
65,EGY,"Egypt, Arab Rep.",100388073.0,183037035.0
66,EMU,Euro area,342597698.0,
67,ERI,Eritrea,,
68,ESP,Spain,47076781.0,-108994.0
69,EST,Estonia,1326590.0,
70,ETH,Ethiopia,112078730.0,733982969.0
71,EUU,European Union,447512041.0,
72,FCS,Fragile and conflict affected situations,798138587.0,
73,FIN,Finland,5520314.0,
74,FJI,Fiji,889953.0,551515.0
75,FRA,France,67059887.0,
76,FRO,Faroe Islands,48678.0,
77,FSM,"Micronesia, Fed. Sts.",113815.0,6226889.0
78,GAB,Gabon,2172579.0,-5581503.0
79,GBR,United Kingdom,66834405.0,
80,GEO,Georgia,3720382.0,58169768.0
81,GHA,Ghana,30417856.0,221028582.0
82,GIB,Gibraltar,33701.0,
83,GIN,Guinea,12771246.0,65100235.0
