,Country Code,Country Name,2015,2015 AID
141,LTU,Lithuania,2904910.0,66404.0
142,LUX,Luxembourg,569604.0,
143,LVA,Latvia,1977527.0,69200.0
144,MAC,"Macao SAR, China",602085.0,
145,MAF,St. Martin (French part),35858.0,
146,MAR,Morocco,34663603.0,42144581.0
147,MCO,Monaco,37718.0,
148,MDA,Moldova,2834530.0,42825060.0
149,MDG,Madagascar,24234088.0,107559668.0
150,MDV,Maldives,454915.0,1416729.0
151,MEA,Middle East & North Africa,425821770.0,
152,MEX,Mexico,121858258.0,115414146.0
153,MHL,Marshall Islands,57439.0,74482755.0
154,MIC,Middle income,5523478050.0,
155,MKD,North Macedonia,2079328.0,
156,MLI,Mali,17438778.0,270582838.0
157,MLT,Malta,445053.0,
158,MMR,Myanmar,52680726.0,194387544.0
159,MNA,Middle East & North Africa (excluding high income),363975550.0,
160,MNE,Montenegro,622159.0,118268.0
161,MNG,Mongolia,2998439.0,6985544.0
162,MNP,Northern Mariana Islands,55780.0,
163,MOZ,Mozambique,27042002.0,392351127.0
164,MRT,Mauritania,4046301.0,20224187.0
165,MUS,Mauritius,1262605.0,
166,MWI,Malawi,16745303.0,317879815.0
167,MYS,Malaysia,30270962.0,2114613.0
168,NAC,North America,356403308.0,
169,NAM,Namibia,2314904.0,53965558.0
170,NCL,New Caledonia,272400.0,
171,NER,Niger,20001663.0,64562289.0
172,NGA,Nigeria,181137448.0,720577624.0
173,NIC,Nicaragua,6223240.0,65640525.0
174,NLD,Netherlands,16939923.0,
175,NOR,Norway,5188607.0,
176,NPL,Nepal,27015031.0,277108639.0
177,NRU,Nauru,12475.0,
178,NZL,New Zealand,4595700.0,
179,OED,OECD members,1327822047.0,
180,OMN,Oman,4267348.0,180161.0
181,OSS,Other small states,28948869.0,
182,PAK,Pakistan,199426964.0,1320607256.0
183,PAN,Panama,3968487.0,863983.0
184,PER,Peru,30470734.0,115670084.0
185,PHL,Philippines,102113212.0,289671330.0
186,PLW,Palau,17665.0,1299846.0
187,PNG,Papua New Guinea,8107775.0,13895978.0
188,POL,Poland,37986412.0,
189,PRE,Pre-demographic dividend,845759344.0,
190,PRI,Puerto Rico,3473232.0,
191,PRK,"Korea, Dem. People’s Rep.",25183833.0,
192,PRT,Portugal,10358076.0,
193,PRY,Paraguay,6688746.0,18163021.0
194,PSE,West Bank and Gaza,4270092.0,694894659.0
195,PSS,Pacific island small states,2355672.0,
196,PST,Post-demographic dividend,1096860060.0,
197,PYF,French Polynesia,273124.0,
198,QAT,Qatar,2565710.0,
199,ROU,Romania,19815616.0,-2899.0
200,RUS,Russian Federation,144096870.0,647486287.0
201,RWA,Rwanda,11369071.0,311562602.0
202,SAS,South Asia,1749417068.0,
203,SAU,Saudi Arabia,31717667.0,160092.0
204,SDN,Sudan,38902950.0,
205,SEN,Senegal,14578459.0,178358540.0
206,SGP,Singapore,5535002.0,
207,SLB,Solomon Islands,603118.0,693900.0
208,SLE,Sierra Leone,7171914.0,245752906.0
209,SLV,El Salvador,6325124.0,80997546.0
210,SMR,San Marino,33272.0,
211,SOM,Somalia,13797201.0,237624554.0
212,SRB,Serbia,7095383.0,29579593.0
213,SSA,Sub-Saharan Africa (excluding high income),994102454.0,
214,SSD,South Sudan,10715658.0,
215,SSF,Sub-Saharan Africa,995458478.0,
216,SST,Small states,38526753.0,
217,STP,Sao Tome and Principe,199432.0,
218,SUR,Suriname,559143.0,
219,SVK,Slovak Republic,5423801.0,
220,SVN,Slovenia,2063531.0,
221,SWE,Sweden,9799186.0,94252.0
222,SWZ,Eswatini,1104044.0,
223,SXM,Sint Maarten (Dutch part),38825.0,
224,SYC,Seychelles,93419.0,
225,SYR,Syrian Arab Republic,17997408.0,1402045742.0
226,TCA,Turks and Caicos Islands,35981.0,
227,TCD,Chad,14110975.0,29720423.0
228,TEA,East Asia & Pacific (IDA & IBRD countries),2012980531.0,
229,TEC,Europe & Central Asia (IDA & IBRD countries),452301305.0,
230,TGO,Togo,7323158.0,176460.0
231,THA,Thailand,68714511.0,14080159.0
232,TJK,Tajikistan,8454028.0,49895443.0
233,TKM,Turkmenistan,5565287.0,7829089.0
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),606271975.0,
235,TLS,Timor-Leste,1196302.0,38236339.0
236,TMN,Middle East & North Africa (IDA & IBRD countries),359705458.0,
237,TON,Tonga,100781.0,
238,TSA,South Asia (IDA & IBRD),1749417068.0,
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),995458478.0,
240,TTO,Trinidad and Tobago,1370328.0,
241,TUN,Tunisia,11179949.0,33126001.0
242,TUR,Turkey,78529409.0,1141945.0
243,TUV,Tuvalu,11099.0,106867.0
244,TZA,Tanzania,51482633.0,635881673.0
245,UGA,Uganda,38225453.0,575647512.0
246,UKR,Ukraine,45154036.0,225193438.0
247,UMC,Upper middle income,2773653737.0,
248,URY,Uruguay,3412009.0,1006784.0
249,USA,United States,320635163.0,
250,UZB,Uzbekistan,31298900.0,24974806.0
251,VCT,St. Vincent and the Grenadines,109148.0,
252,VEN,"Venezuela, RB",30081829.0,7753592.0
253,VGB,British Virgin Islands,29152.0,
254,VIR,Virgin Islands (U.S.),107710.0,
255,VNM,Vietnam,92677076.0,149623427.0
256,VUT,Vanuatu,271130.0,3194616.0
257,WLD,World,7338964960.0,
258,WSM,Samoa,193513.0,139236.0
259,XKX,Kosovo,1788196.0,
260,YEM,"Yemen, Rep.",26497889.0,165979361.0
261,ZAF,South Africa,55386367.0,490227439.0
262,ZMB,Zambia,15879361.0,303480708.0
263,ZWE,Zimbabwe,13814629.0,228844850.0
