,Country Code,Country Name,2016,2016 AID
246,UKR,Ukraine,45004674.0,270582060.0
247,UMC,Upper middle income,2795831616.0,
248,URY,Uruguay,3424132.0,186320.0
249,USA,United States,322941311.0,
250,UZB,Uzbekistan,31847900.0,16142827.0
251,VCT,St. Vincent and the Grenadines,109459.0,
252,VEN,"Venezuela, RB",29846179.0,7366670.0
253,VGB,British Virgin Islands,29355.0,
254,VIR,Virgin Islands (U.S.),107510.0,
255,VNM,Vietnam,93638724.0,165029114.0
256,VUT,Vanuatu,278330.0,3292087.0
257,WLD,World,7424282488.0,
258,WSM,Samoa,194535.0,816371.0
259,XKX,Kosovo,1777557.0,
260,YEM,"Yemen, Rep.",27168210.0,221403505.0
261,ZAF,South Africa,56203654.0,568052874.0
262,ZMB,Zambia,16363507.0,402469194.0
263,ZWE,Zimbabwe,14030390.0,271006013.0
