,Country Code,Country Name,2016,2016 AID
0,ABW,Aruba,104872.0,
1,AFG,Afghanistan,35383128.0,2348273187.0
2,AGO,Angola,28842484.0,109595176.0
3,ALB,Albania,2876101.0,17739919.0
4,AND,Andorra,77297.0,
5,ARB,Arab World,404024435.0,
6,ARE,United Arab Emirates,9360980.0,488356.0
7,ARG,Argentina,43590368.0,1690104.0
8,ARM,Armenia,2936146.0,28375221.0
9,ASM,American Samoa,55741.0,
10,ATG,Antigua and Barbuda,94527.0,
11,AUS,Australia,24190907.0,
12,AUT,Austria,8736668.0,148630.0
13,AZE,Azerbaijan,9757812.0,15044789.0
14,BDI,Burundi,10487998.0,77718074.0
15,BEL,Belgium,11331422.0,
16,BEN,Benin,10872067.0,72126006.0
17,BFA,Burkina Faso,18646378.0,117094788.0
18,BGD,Bangladesh,157970840.0,419864008.0
19,BGR,Bulgaria,7127822.0,820698.0
20,BHR,Bahrain,1425791.0,527324.0
21,BHS,"Bahamas, The",377931.0,785301.0
22,BIH,Bosnia and Herzegovina,3386267.0,45455920.0
23,BLR,Belarus,9501534.0,14964684.0
24,BLZ,Belize,368400.0,411017.0
25,BMU,Bermuda,64554.0,
26,BOL,Bolivia,11031813.0,840086.0
27,BRA,Brazil,206163058.0,15017737.0
28,BRB,Barbados,285796.0,538117.0
29,BRN,Brunei Darussalam,419800.0,
30,BTN,Bhutan,736709.0,359343.0
31,BWA,Botswana,2159944.0,26690886.0
32,CAF,Central African Republic,4537687.0,57371671.0
33,CAN,Canada,36109487.0,25999751.0
34,CEB,Central Europe and the Baltics,102994278.0,
35,CHE,Switzerland,8373338.0,138014.0
36,CHI,Channel Islands,166923.0,
37,CHL,Chile,18209068.0,2951470.0
38,CHN,China,1378665000.0,39549293.0
39,CIV,Cote d'Ivoire,23822714.0,95006889.0
40,CMR,Cameroon,23926539.0,75011969.0
41,COD,"Congo, Dem. Rep.",78789127.0,549919148.0
42,COG,"Congo, Rep.",4980999.0,4664514.0
43,COL,Colombia,48171392.0,346650637.0
44,COM,Comoros,795592.0,232135.0
45,CPV,Cabo Verde,531146.0,531955.0
46,CRI,Costa Rica,4899345.0,5423358.0
47,CSS,Caribbean small states,7269386.0,
48,CUB,Cuba,11335109.0,7724685.0
49,CUW,Curacao,159664.0,
50,CYM,Cayman Islands,62569.0,
51,CYP,Cyprus,1170187.0,929818.0
52,CZE,Czech Republic,10566332.0,
53,DEU,Germany,82348669.0,26541.0
54,DJI,Djibouti,929112.0,6482755.0
55,DMA,Dominica,71307.0,158601.0
56,DNK,Denmark,5728010.0,7336.0
57,DOM,Dominican Republic,10397743.0,59929728.0
58,DZA,Algeria,40551404.0,5914662.0
59,EAP,East Asia & Pacific (excluding high income),2053103802.0,
60,EAR,Early-demographic dividend,3164386917.0,
61,EAS,East Asia & Pacific,2298486142.0,
62,ECA,Europe & Central Asia (excluding high income),392870484.0,
63,ECS,Europe & Central Asia,910904758.0,
64,ECU,Ecuador,16491115.0,10955218.0
65,EGY,"Egypt, Arab Rep.",94447072.0,264855152.0
66,EMU,Euro area,340481753.0,
67,ERI,Eritrea,,
68,ESP,Spain,46484062.0,58390.0
69,EST,Estonia,1315790.0,
70,ETH,Ethiopia,103603501.0,876471424.0
71,EUU,European Union,445487728.0,
72,FCS,Fragile and conflict affected situations,747004599.0,
73,FIN,Finland,5495303.0,
74,FJI,Fiji,872399.0,4755085.0
75,FRA,France,66724104.0,150066.0
76,FRO,Faroe Islands,48173.0,
77,FSM,"Micronesia, Fed. Sts.",110215.0,201072779.0
78,GAB,Gabon,2007873.0,32252463.0
79,GBR,United Kingdom,65611593.0,
80,GEO,Georgia,3727505.0,95921279.0
81,GHA,Ghana,28481946.0,352792112.0
82,GIB,Gibraltar,33737.0,
83,GIN,Guinea,11738441.0,152897521.0
84,GMB,"Gambia, The",2149139.0,530822.0
85,GNB,Guinea-Bissau,1782437.0,9189603.0
86,GNQ,Equatorial Guinea,1215179.0,1009628.0
87,GRC,Greece,10775971.0,559559.0
88,GRD,Grenada,110261.0,15500.0
89,GRL,Greenland,56186.0,
90,GTM,Guatemala,15827690.0,337454323.0
91,GUM,Guam,162951.0,
92,GUY,Guyana,771366.0,3712123.0
93,HIC,High income,1219052239.0,
94,HKG,"Hong Kong SAR, China",7336600.0,658876.0
95,HND,Honduras,9270795.0,213639335.0
96,HPC,Heavily indebted poor countries (HIPC),738387254.0,
97,HRV,Croatia,4174349.0,1891318.0
98,HTI,Haiti,10839970.0,527154310.0
99,HUN,Hungary,9814023.0,133487.0
100,IBD,IBRD only,4692789458.0,
101,IBT,IDA & IBRD total,6254594188.0,
102,IDA,IDA total,1561804730.0,
103,IDB,IDA blend,524790731.0,
104,IDN,Indonesia,261554226.0,301507475.0
105,IDX,IDA only,1037013999.0,
106,IMN,Isle of Man,83287.0,
107,IND,India,1324509589.0,208972188.0
108,INX,Not classified,,
109,IRL,Ireland,4755335.0,
110,IRN,"Iran, Islamic Rep.",79564016.0,
111,IRQ,Iraq,36610632.0,592677459.0
112,ISL,Iceland,335439.0,
113,ISR,Israel,8546000.0,7911579.0
114,ITA,Italy,60627498.0,
115,JAM,Jamaica,2906238.0,21390426.0
116,JOR,Jordan,9551467.0,434321208.0
117,JPN,Japan,126994511.0,195376.0
118,KAZ,Kazakhstan,17794055.0,16771982.0
119,KEN,Kenya,49051686.0,914665777.0
120,KGZ,Kyrgyz Republic,6079500.0,71880579.0
121,KHM,Cambodia,15766293.0,166801470.0
122,KIR,Kiribati,112524.0,
123,KNA,St. Kitts and Nevis,51625.0,422174.0
124,KOR,"Korea, Rep.",51217803.0,
125,KWT,Kuwait,3956875.0,123150.0
126,LAC,Latin America & Caribbean (excluding high income),596643917.0,
127,LAO,Lao PDR,6845846.0,102134177.0
128,LBN,Lebanon,6711121.0,198409393.0
129,LBR,Liberia,4586788.0,504907240.0
130,LBY,Libya,6492164.0,38699513.0
131,LCA,St. Lucia,180024.0,99281.0
132,LCN,Latin America & Caribbean,628484873.0,
133,LDC,Least developed countries: UN classification,963511276.0,
134,LIC,Low income,618780841.0,
135,LIE,Liechtenstein,37658.0,
136,LKA,Sri Lanka,21203000.0,37616258.0
137,LMC,Lower middle income,2790617792.0,
138,LMY,Low & middle income,6205230249.0,
139,LSO,Lesotho,2075001.0,75871599.0
140,LTE,Late-demographic dividend,2261409324.0,
141,LTU,Lithuania,2868231.0,
142,LUX,Luxembourg,582014.0,
143,LVA,Latvia,1959537.0,-5052.0
144,MAC,"Macao SAR, China",612836.0,
145,MAF,St. Martin (French part),36065.0,
146,MAR,Morocco,35126296.0,52152802.0
147,MCO,Monaco,38070.0,
148,MDA,Moldova,2802170.0,34921732.0
149,MDG,Madagascar,24894380.0,144543181.0
150,MDV,Maldives,475513.0,1615550.0
151,MEA,Middle East & North Africa,433597628.0,
152,MEX,Mexico,123333376.0,123259010.0
153,MHL,Marshall Islands,57735.0,152688799.0
154,MIC,Middle income,5586449408.0,
155,MKD,North Macedonia,2080745.0,
156,MLI,Mali,17965429.0,355480084.0
157,MLT,Malta,455356.0,
158,MMR,Myanmar,53045226.0,313470690.0
159,MNA,Middle East & North Africa (excluding high income),370276461.0,
160,MNE,Montenegro,622303.0,98284.0
161,MNG,Mongolia,3056359.0,5003127.0
162,MNP,Northern Mariana Islands,56188.0,
163,MOZ,Mozambique,27829942.0,488077755.0
164,MRT,Mauritania,4163534.0,8849421.0
165,MUS,Mauritius,1263473.0,41126.0
166,MWI,Malawi,17205289.0,490235634.0
167,MYS,Malaysia,30684804.0,5520598.0
168,NAC,North America,359115352.0,
169,NAM,Namibia,2358041.0,32505301.0
170,NCL,New Caledonia,276550.0,
171,NER,Niger,20788838.0,92429793.0
172,NGA,Nigeria,185960289.0,785350287.0
173,NIC,Nicaragua,6303974.0,60868049.0
174,NLD,Netherlands,17030314.0,
175,NOR,Norway,5234519.0,
176,NPL,Nepal,27261131.0,261290575.0
177,NRU,Nauru,13049.0,
178,NZL,New Zealand,4693200.0,116782.0
179,OED,OECD members,1336641415.0,
180,OMN,Oman,4479219.0,738273.0
181,OSS,Other small states,29542879.0,
182,PAK,Pakistan,203627284.0,1132315978.0
183,PAN,Panama,4037078.0,2333957.0
184,PER,Peru,30926032.0,89568144.0
185,PHL,Philippines,103663927.0,284204493.0
186,PLW,Palau,17725.0,3736365.0
187,PNG,Papua New Guinea,8271760.0,17493658.0
188,POL,Poland,37970087.0,49927.0
189,PRE,Pre-demographic dividend,869943914.0,
190,PRI,Puerto Rico,3406672.0,
191,PRK,"Korea, Dem. People’s Rep.",25307744.0,
192,PRT,Portugal,10325452.0,123150.0
193,PRY,Paraguay,6777872.0,13309421.0
194,PSE,West Bank and Gaza,4367088.0,513646102.0
195,PSS,Pacific island small states,2388307.0,
196,PST,Post-demographic dividend,1101715022.0,
197,PYF,French Polynesia,274575.0,
198,QAT,Qatar,2654374.0,
199,ROU,Romania,19702267.0,119569.0
200,RUS,Russian Federation,144342396.0,10529238.0
201,RWA,Rwanda,11668818.0,256981932.0
202,SAS,South Asia,1771167194.0,
203,SAU,Saudi Arabia,32442572.0,
204,SDN,Sudan,39847440.0,
205,SEN,Senegal,14993528.0,198714192.0
206,SGP,Singapore,5607283.0,536943.0
207,SLB,Solomon Islands,619437.0,46775304.0
208,SLE,Sierra Leone,7328838.0,163141490.0
209,SLV,El Salvador,6356143.0,105922450.0
210,SMR,San Marino,33504.0,
211,SOM,Somalia,14185613.0,331119706.0
212,SRB,Serbia,7058322.0,19164984.0
213,SSA,Sub-Saharan Africa (excluding high income),1021168391.0,
214,SSD,South Sudan,10832512.0,
215,SSF,Sub-Saharan Africa,1022526541.0,
216,SST,Small states,39200572.0,
217,STP,Sao Tome and Principe,203227.0,0.0
218,SUR,Suriname,564888.0,
219,SVK,Slovak Republic,5430798.0,530822.0
220,SVN,Slovenia,2065042.0,
221,SWE,Sweden,9923085.0,
222,SWZ,Eswatini,1113984.0,
223,SXM,Sint Maarten (Dutch part),39969.0,
224,SYC,Seychelles,94677.0,
225,SYR,Syrian Arab Republic,17453933.0,1268131436.0
226,TCA,Turks and Caicos Islands,36559.0,
227,TCD,Chad,14561666.0,28094014.0
228,TEA,East Asia & Pacific (IDA & IBRD countries),2027771091.0,
229,TEC,Europe & Central Asia (IDA & IBRD countries),454717187.0,
230,TGO,Togo,7509952.0,1397085.0
231,THA,Thailand,68971331.0,21299159.0
232,TJK,Tajikistan,8663579.0,44290999.0
233,TKM,Turkmenistan,5662372.0,4509520.0
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),612502802.0,
235,TLS,Timor-Leste,1219288.0,27064881.0
236,TMN,Middle East & North Africa (IDA & IBRD countries),365909373.0,
237,TON,Tonga,101133.0,711197.0
238,TSA,South Asia (IDA & IBRD),1771167194.0,
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),1022526541.0,
240,TTO,Trinidad and Tobago,1377564.0,194976.0
241,TUN,Tunisia,11303946.0,39765165.0
242,TUR,Turkey,79821724.0,12947537.0
243,TUV,Tuvalu,11225.0,
244,TZA,Tanzania,53050790.0,600225093.0
245,UGA,Uganda,39647506.0,658153095.0
